CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,CHECK_CLAUSE
FSP_V3_Production,dbo,CHK_SalesTransactionLineItems_PackageInstanceGuid_PackageItemGuid,
FSP_V3_Production,dbo,CHK_WebhookConfigurations_Action,
FSP_V3_Production,dbo,CHK_WebhookExecutions_Action,
FSP_V3_Production,dbo,CHK_WebhookExecutions_Status,
FSP_V3_Production,dbo,CK_LendingSubmissions_SubmissionData_JSON,
FSP_V3_Production,dbo,CK_ReadinessBriefing_PreviewDates,
FSP_V3_Production,dbo,CK_ReadinessBriefing_Status,
FSP_V3_Production,dbo,CK_ScheduleAvailabilities_StartTimeBeforeEndTime,
FSP_V3_Production,dbo,CK_StartDateTimeBeforeEndDateTime,
FSP_V3_Production,inv,CHK_PackageInstanceItems_Quantity,
FSP_V3_Production,inv,CHK_PackageInstanceItems_QuantityUsed,
FSP_V3_Production,inv,CHK_PackageInstances_IsActive_IsUserRemoved,
FSP_V3_Production,inv,CHK_PackageInstances_TotalDue_RemainingValue,
FSP_V3_Production,inv,CHK_PackageInstances_TotalPaid_RemainingValue,
FSP_V3_Production,inv,CHK_PackageInstances_Version,
FSP_V3_Production,inv,CHK_PackageInstances_Version_RemainingValue,
FSP_V3_Production,inv,CHK_PackageItems_AircraftCategoryClass_InstructionType,
FSP_V3_Production,inv,CHK_PackageItems_AircraftCategoryClass_InstructionType_LineItemId,
FSP_V3_Production,inv,CHK_PackageItems_AircraftMakeId_AircraftModelId,
FSP_V3_Production,inv,CHK_PackageItems_StandardRate_Rate_DiscountPercent,
FSP_V3_Production,inv,CHK_PackageItems_Tax1Id_Tax2Id,
FSP_V3_Production,inv,CHK_PackageItems_Type_AircraftCategoryClass_AircraftMakeId_InstructionType,
FSP_V3_Production,inv,CHK_PackageItems_Type_LineItemId,
FSP_V3_Production,inv,CHK_PaymentLinksSettings_DefaultPaymentDueDays_DefaultPaymentDueDayOfMonth,
FSP_V3_Production,inv,CHK_PaymentTokens_IsDefault_IsTemporary,
FSP_V3_Production,inv,CHK_PaymentTokens_TypeId_BankAccountStatus,
FSP_V3_Production,inv,CHK_PaymentTokens_TypeId_IsDefault,
FSP_V3_Production,inv,CHK_PaymentTokens_TypeId_IsTemporary,
FSP_V3_Production,inv,CHK_StorefrontItems_LineItemId_StorefrontLinkId,
FSP_V3_Production,inv,CHK_StudentFinancingAccounts_Status,
FSP_V3_Production,inv,CHK_StudentFinancingAccounts_Type,
FSP_V3_Production,inv,CHK_StudentFinancingLoanOptions_AccountType,
FSP_V3_Production,inv,CHK_StudentFinancingLoans_AccountType,
FSP_V3_Production,inv,CHK_StudentFinancingLoans_Status,
FSP_V3_Production,inv,CHK_StudentFinancingLoans_Status_ApprovedAtUtc,
FSP_V3_Production,mx,CHK_IsPaid_IsBilled,
FSP_V3_Production,mx,CHK_PartRequests_WorkItemId,
FSP_V3_Production,mx,CHK_QuantityBilled_QuantityPaid,
FSP_V3_Production,mx,CHK_QuantityPicked_QuantityBilled,
