TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME
fsp-165587,AzureSync,AzureSyncTablesForCore,TableName,1,,NO,varchar,255,255,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,AzureSyncTablesForCore,FullCopy,2,,YES,bit,,,,,,,,
fsp-165587,AzureSync,AzureSyncTablesForCore,_RowNumber,3,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,TableName,2,,NO,varchar,255,255,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,FullCopy,3,,YES,bit,,,,,,,,
fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,Version,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,Id,2,,NO,int,,,10,10,0,,,
fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,Version,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,Id,2,,NO,int,,,10,10,0,,,
fsp-165587,AzureSync,SyncRuns,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,SyncRuns,DataSet,2,,NO,varchar,50,50,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,SyncRuns,SyncStart,3,,NO,datetime,,,,,,3,,
fsp-165587,AzureSync,SyncRuns,SyncComplete,4,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,_RowNumber,1,,NO,bigint,,,19,10,0,,,
