TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
fsp-165587,AzureSync,AzureSyncTablesForCore,BASE TABLE
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,BASE TABLE
fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,BASE TABLE
fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,BASE TABLE
fsp-165587,AzureSync,SyncRuns,BASE TABLE
fsp-165587,dbo,AccountingSyncBatches,BASE TABLE
fsp-165587,dbo,AccountingSyncBatchTransactions,BASE TABLE
fsp-165587,dbo,AircraftOwners,BASE TABLE
fsp-165587,dbo,AircraftRateTypes,BASE TABLE
fsp-165587,dbo,AircraftTypeCheckOutsHistory,BASE TABLE
fsp-165587,dbo,AuditHistoryEvents,BASE TABLE
fsp-165587,dbo,Certifications,BASE TABLE
fsp-165587,dbo,Closings,BASE TABLE
fsp-165587,dbo,ConsolidatedReservations,BASE TABLE
fsp-165587,dbo,CourseCertifications,BASE TABLE
fsp-165587,dbo,CourseCustomDocumentationChecks,BASE TABLE
fsp-165587,dbo,CourseDocumentUploads,BASE TABLE
fsp-165587,dbo,CourseNames,BASE TABLE
fsp-165587,dbo,CourseProfileDocumentationChecks,BASE TABLE
fsp-165587,dbo,CourseProfileLessonMinimumTimes,BASE TABLE
fsp-165587,dbo,CourseProfiles,BASE TABLE
fsp-165587,dbo,Courses,BASE TABLE
fsp-165587,dbo,CourseTasks,BASE TABLE
fsp-165587,dbo,CourseTimeFields,BASE TABLE
fsp-165587,dbo,CourseTrackedTimeFields,BASE TABLE
fsp-165587,dbo,CustomCancellationReasons,BASE TABLE
fsp-165587,dbo,CustomerAccounts,BASE TABLE
fsp-165587,dbo,CustomLessonTasks,BASE TABLE
fsp-165587,dbo,CustomProfileDocumentation,BASE TABLE
fsp-165587,dbo,CustomSquawkResolutions,BASE TABLE
fsp-165587,dbo,CustomTimeFields,BASE TABLE
fsp-165587,dbo,DiscountGroup,BASE TABLE
fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,BASE TABLE
fsp-165587,dbo,DiscountGroupRoleJoiner,BASE TABLE
fsp-165587,dbo,DiscountGroupUserJoiner,BASE TABLE
fsp-165587,dbo,DocumentUploadBackups,BASE TABLE
fsp-165587,dbo,DocumentUploads,BASE TABLE
fsp-165587,dbo,Endorsements,BASE TABLE
fsp-165587,dbo,EndorsementsHistory,BASE TABLE
fsp-165587,dbo,EnrollmentCreditPreviousTotals,BASE TABLE
fsp-165587,dbo,EnrollmentCredits,BASE TABLE
fsp-165587,dbo,EnrollmentDocuments,BASE TABLE
fsp-165587,dbo,EnrollmentInstructors,BASE TABLE
fsp-165587,dbo,Enrollments,BASE TABLE
fsp-165587,dbo,EnrollmentsLog,BASE TABLE
fsp-165587,dbo,EnrollmentTimes,BASE TABLE
fsp-165587,dbo,Exams,BASE TABLE
fsp-165587,dbo,ExamScoreDocuments,BASE TABLE
fsp-165587,dbo,ExamScores,BASE TABLE
fsp-165587,dbo,FlightInstructorCertificate,BASE TABLE
fsp-165587,dbo,Headings,BASE TABLE
fsp-165587,dbo,HistoricalTrainingSessionAirports,BASE TABLE
fsp-165587,dbo,HistoricalTrainingSessionCustomTaskGrades,BASE TABLE
fsp-165587,dbo,HistoricalTrainingSessions,BASE TABLE
fsp-165587,dbo,HistoricalTrainingSessionTaskGrades,BASE TABLE
fsp-165587,dbo,HistoricalTrainingSessionTimes,BASE TABLE
fsp-165587,dbo,InstructionTypes,BASE TABLE
fsp-165587,dbo,InvoiceLocationPreferences,BASE TABLE
fsp-165587,dbo,InvoicingAccount,BASE TABLE
fsp-165587,dbo,InvoicingAccountPayments,BASE TABLE
fsp-165587,dbo,LabelCategories,BASE TABLE
fsp-165587,dbo,Labels,BASE TABLE
fsp-165587,dbo,LabelToRoleJoiner,BASE TABLE
fsp-165587,dbo,LabelToUserJoiner,BASE TABLE
fsp-165587,dbo,LastFlightDates,BASE TABLE
fsp-165587,dbo,LastFlightDatesByMakeModel,BASE TABLE
fsp-165587,dbo,LastFlightDatesHistory,BASE TABLE
fsp-165587,dbo,LastFlightDatesLog,BASE TABLE
fsp-165587,dbo,LessonGrades,BASE TABLE
fsp-165587,dbo,LessonGradeScales,BASE TABLE
fsp-165587,dbo,LessonNames,BASE TABLE
fsp-165587,dbo,Lessons,BASE TABLE
fsp-165587,dbo,LessonTasks,BASE TABLE
fsp-165587,dbo,LessonTrackedTimeFields,BASE TABLE
fsp-165587,dbo,MaintenanceReminderResolutions,BASE TABLE
fsp-165587,dbo,MaintenanceReminders,BASE TABLE
fsp-165587,dbo,MaintenanceReminderTemplates,BASE TABLE
fsp-165587,dbo,MassEmailAttachments,BASE TABLE
fsp-165587,dbo,MassEmailPeopleGroupIds,BASE TABLE
