TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME
FSP_V3_Production,AzureSync,AzureSyncTablesForCore,_RowNumber,FSP_V3_Production,AzureSync,PK_AzureSyncTablesForCore
FSP_V3_Production,AzureSync,PreviousCoreChangeTrackingVersion,Id,FSP_V3_Production,AzureSync,PK_PreviousCoreChangeTrackingVersion
FSP_V3_Production,AzureSync,SyncRuns,_RowNumber,FSP_V3_Production,AzureSync,PK_SyncRuns
FSP_V3_Production,dbo,FlightAlerts,ReservationId,FSP_V3_Production,dbo,FK_FlightAlerts_tblReservation
FSP_V3_Production,dbo,Labels,LabelCategoryId,FSP_V3_Production,dbo,FK_Labels_LabelCategories
FSP_V3_Production,dbo,LabelToRoleJoiner,LabelId,FSP_V3_Production,dbo,FK_LabelToRoleJoiner_Labels
FSP_V3_Production,dbo,LabelToRoleJoiner,RoleId,FSP_V3_Production,dbo,FK_LabelToRoleJoiner_TblUsers
FSP_V3_Production,dbo,LabelToUserJoiner,LabelId,FSP_V3_Production,dbo,FK_LabelToUserJoiner_Labels
FSP_V3_Production,dbo,LabelToUserJoiner,UserGuid,FSP_V3_Production,dbo,FK_LabelToUserJoiner_TblUsers
FSP_V3_Production,dbo,LocationToIcaoLocationsJoiner,LocationId,FSP_V3_Production,dbo,FK_LocationToIcaoLocationsJoiner_tblLocations
FSP_V3_Production,dbo,LogTenUserOperatorJoiner,UserId,FSP_V3_Production,dbo,FK_LogTenUserOperatorJoiner_GlobalUserSettings
FSP_V3_Production,dbo,OperatorAgreements,AcceptedByUserGuid,FSP_V3_Production,dbo,FK_OperatorAgreements_tblUser
FSP_V3_Production,dbo,ReservationBatchReservations,ReservationBatchId,FSP_V3_Production,dbo,FK_ReservationBatches_ReservationBatchReservations
FSP_V3_Production,dbo,ReservationTrainingSessions,ReservationId,FSP_V3_Production,dbo,FK_ReservationTrainingSessions_tblReservation
FSP_V3_Production,dbo,ReservationTypeToPreflightAuthorizingUsersJoiner,ReservationTypeId,FSP_V3_Production,dbo,FK_ReservationTypeToPreflightAuthorizingUsersJoiner_tblReservationTypes
FSP_V3_Production,dbo,SalesTransactionLineItems,PackageInstanceGuid,FSP_V3_Production,dbo,FK_SalesTransactionLineItems_PackageInstanceGuid
