CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,IS_DEFERRABLE,INITIALLY_DEFERRED
FSP_V3_Production,mx,FK_StockRecordsToBinLocationsJoiner_StockRecords,FSP_V3_Production,mx,StockRecordsToInventoryBinsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblRolePermissionJoiner_tblRole,FSP_V3_Production,dbo,tblRolePermissionJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblUserRoleJoiner_tblRole,FSP_V3_Production,dbo,tblUserRoleJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblRemovedReservationResources_tblRemovedReservation,FSP_V3_Production,dbo,tblRemovedReservationResources,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_MaintenanceLocationTimeTypeRates_TimeTypes,FSP_V3_Production,mx,MaintenanceLocationTimeTypeRates,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_MaintenanceLocationTimeTypeRates_MaintenanceLocations,FSP_V3_Production,mx,MaintenanceLocationTimeTypeRates,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblRemovedReservationPilots_tblRemovedReservation,FSP_V3_Production,dbo,tblRemovedReservationPilots,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblRemovedReservationFlightDetails_tblRemovedReservation,FSP_V3_Production,dbo,tblRemovedReservationFlightDetails,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblCompanyAddressJoiner_tblAddress,FSP_V3_Production,dbo,tblCompanyAddressJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblCompanyModuleJoiner_tblModule,FSP_V3_Production,dbo,tblCompanyPlugInModuleJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblCompanyGalleryImages_tblCompanyGalleries,FSP_V3_Production,dbo,tblCompanyGalleryImages,FOREIGN KEY,NO,NO
