CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,UNIQUE_CONSTRAINT_CATALOG,UNIQUE_CONSTRAINT_SCHEMA,UNIQUE_CONSTRAINT_NAME,MATCH_OPTION,UPDATE_RULE,DELETE_RULE
FSP_V3_Production,mx,FK_StockRecordsToBinLocationsJoiner_StockRecords,FSP_V3_Production,mx,PK_StockRecords,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblRolePermissionJoiner_tblRole,FSP_V3_Production,dbo,PK_tblRole,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblUserRoleJoiner_tblRole,FSP_V3_Production,dbo,PK_tblRole,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblRemovedReservationResources_tblRemovedReservation,FSP_V3_Production,dbo,PK_tblRemovedReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_MaintenanceLocationTimeTypeRates_TimeTypes,FSP_V3_Production,mx,PK_TimeTypes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_MaintenanceLocationTimeTypeRates_MaintenanceLocations,FSP_V3_Production,mx,PK_MaintenanceLocations_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblRemovedReservationPilots_tblRemovedReservation,FSP_V3_Production,dbo,PK_tblRemovedReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblRemovedReservationFlightDetails_tblRemovedReservation,FSP_V3_Production,dbo,PK_tblRemovedReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblCompanyAddressJoiner_tblAddress,FSP_V3_Production,dbo,PK_tblAddress,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblCompanyModuleJoiner_tblModule,FSP_V3_Production,dbo,PK_tblModule,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblCompanyGalleryImages_tblCompanyGalleries,FSP_V3_Production,dbo,PK_tblCompanyGalleries,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_ConsumableFees_MaintenanceLocations,FSP_V3_Production,mx,PK_MaintenanceLocations_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_PackageInstanceGuid,FSP_V3_Production,inv,UK_PackageInstances_PackageInstanceGuid,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_ConsumableFees_tblInvoicingLineItems,FSP_V3_Production,dbo,PK_tblInvoicingLineItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageInstanceItems_PackageInstanceId,FSP_V3_Production,inv,PK_PackageInstances,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageInstanceItems_PackageItemId,FSP_V3_Production,inv,PK_PackageItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_TerminalToLocationJoiner_TerminalId,FSP_V3_Production,inv,PK_Terminals_TerminalId,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_PackageInstances_PackageId,FSP_V3_Production,inv,PK_Packages,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_TerminalToLocationJoiner_LocationId,FSP_V3_Production,dbo,PK_tblLocations,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_PackageItems_Packages,FSP_V3_Production,inv,PK_Packages,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageItems_LineItemId,FSP_V3_Production,dbo,PK_tblInvoicingLineItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_Packages_LineItemId,FSP_V3_Production,dbo,PK_tblInvoicingLineItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_ConsumableFees_tblInvoicingLineItems,FSP_V3_Production,dbo,PK_tblInvoicingLineItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_MaintenanceLocationTimeTypeRates_tblInvoicingLineItems,FSP_V3_Production,dbo,PK_tblInvoicingLineItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblLocationToCompanyJoiner_tblLocations,FSP_V3_Production,dbo,PK_tblLocations,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblLocationToPersonJoiner_tblLocations,FSP_V3_Production,dbo,PK_tblLocations,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblEnginePropellerJoiner_tblEngine,FSP_V3_Production,dbo,PK_tblEngine,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblPersonToContactNumberJoiner_tblContactNumbers,FSP_V3_Production,dbo,PK_tblContactNumbers,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_PackageItemGuid,FSP_V3_Production,inv,UK_PackageItems_PackageItemGuid,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_FlightAlerts_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ReservationBatches_ReservationBatchReservations,FSP_V3_Production,dbo,PK_ReservationBatches,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_TerminalTransactions_SalesTransactionId,FSP_V3_Production,dbo,UK_SalesTransactions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_TerminalTransactions_TerminalId,FSP_V3_Production,inv,PK_Terminals_TerminalId,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_Terminals_MerchantAccounts,FSP_V3_Production,inv,PK_MerchantAccount_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_SalesTransactionPayments_MerchantAccounts,FSP_V3_Production,inv,PK_MerchantAccount_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkOrders_MaintenanceLocations,FSP_V3_Production,mx,PK_MaintenanceLocations_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkOrders_WorkOrderStatus,FSP_V3_Production,mx,PK_WorkOrderStatus_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,HangFire,FK_HangFire_JobParameter_Job,FSP_V3_Production,HangFire,PK_HangFire_Job,SIMPLE,CASCADE,CASCADE
FSP_V3_Production,mx,FK_WorkItemAssignees_WorkItems,FSP_V3_Production,mx,PK_WorkItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,HangFire,FK_HangFire_State_Job,FSP_V3_Production,HangFire,PK_HangFire_Job,SIMPLE,CASCADE,CASCADE
FSP_V3_Production,mx,FK_mx.LogbookFormats_mx.LogbookTypes,FSP_V3_Production,mx,PK_LogbookTypes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkItems_WorkItemTypes,FSP_V3_Production,mx,PK_WorkItemTypes_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_SalesTransactionTrainingSessions_SalesTransactions,FSP_V3_Production,dbo,UK_SalesTransactions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkItemTypeOverrides_WorkItemTypes,FSP_V3_Production,mx,PK_WorkItemTypes_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartRequests_WorkOrders,FSP_V3_Production,mx,PK_WorkOrders_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_StudentFinancingLoans_StudentFinancingAccountId,FSP_V3_Production,inv,PK_StudentFinancingAccounts,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkLogs_WorkItems,FSP_V3_Production,mx,PK_WorkItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartRequests_WorkItems,FSP_V3_Production,mx,PK_WorkItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ReservationTypeToPreflightAuthorizingUsersJoiner_tblReservationTypes,FSP_V3_Production,dbo,PK_tblReservationTypes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_WorkOrderStatusOverrides_WorkOrderStatus,FSP_V3_Production,mx,PK_WorkOrderStatus_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartRequests_Parts,FSP_V3_Production,mx,PK_Parts,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_StudentFinancingLoans_PaymentTokenId,FSP_V3_Production,inv,PK_PaymentTokens_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_SalesTransactionPayments_StudentFinancingLoanId,FSP_V3_Production,inv,PK_StudentFinancingLoans,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_WebhookExecutions_WebhookConfigurations,FSP_V3_Production,dbo,PK_WebhookConfigurations,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblFlightRecord_tblFlightRecordResources,FSP_V3_Production,dbo,PK_tblFlightRecord,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_LogTenUserOperatorJoiner_GlobalUserSettings,FSP_V3_Production,dbo,PK_GlobalUserSettings,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblFlightRecord_tblMeterRecords,FSP_V3_Production,dbo,PK_tblFlightRecord,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_SalesTransactionPayments_PaymentTokenId,FSP_V3_Production,inv,PK_PaymentTokens_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblFlightRecord_tblStandardFlightRecord,FSP_V3_Production,dbo,PK_tblFlightRecord,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToAircraftJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,PK_ScheduleMatchUserPreferences,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblReservationPilots_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_StockRecords_Aircraft,FSP_V3_Production,dbo,PK_tblAircraft,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToAircraftJoiner_TblAircraft,FSP_V3_Production,dbo,PK_tblAircraft,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblReservationFlightDetails_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_MerchantAccountToLocationJoiner_MerchantAccountId,FSP_V3_Production,inv,PK_MerchantAccount_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_InventoryLocations_Attachments,FSP_V3_Production,dbo,PK_Attachments,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToFlightInstructorJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,PK_ScheduleMatchUserPreferences,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblReservationResources_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_MerchantAccountToMaintenanceLocationJoiner_MerchantAccountId,FSP_V3_Production,inv,PK_MerchantAccount_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblReservationNotifications_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToFlightInstructorJoiner_tblFlightInstructor,FSP_V3_Production,dbo,PK_tblFlightInstructors,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToSchedulingGroupsJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,PK_ScheduleMatchUserPreferences,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartRequestsToStockRecordsJoiner_PartRequests,FSP_V3_Production,mx,PK_PartRequests,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToSchedulingGroupsJoiner_SchedulingGroups,FSP_V3_Production,dbo,UK_SchedulingGroups_OperatorId_SchedulingGroupId,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblDispatchPilots_tblDispatchRecords,FSP_V3_Production,dbo,PK_tblDispatchRecords,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_PartRequestsToStockRecordsJoiner_StockRecords,FSP_V3_Production,mx,PK_StockRecords,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartsRemoved_PartsRemoved,FSP_V3_Production,mx,PK_mx.PartsRemoved,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblDispatchResources_tblDispatchRecords,FSP_V3_Production,dbo,PK_tblDispatchRecords,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_PartsRemoved_WorkOrders,FSP_V3_Production,mx,PK_WorkOrders_1,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartsRemoved_WorkItems,FSP_V3_Production,mx,PK_WorkItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartsRemoved_Parts,FSP_V3_Production,mx,PK_Parts,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_PartsRemoved,FSP_V3_Production,mx,PK_mx.PartsRemoved,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_WorkItemsToMaintenanceReminderTemplatesJoiner_WorkItems,FSP_V3_Production,mx,PK_WorkItems,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecordStatusOverrides_StockRecordStatus,FSP_V3_Production,mx,PK_StockRecordStatus,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_LabelToRoleJoiner_Labels,FSP_V3_Production,dbo,PK_Labels,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_tblPostItemRoleIds_tblPostItems,FSP_V3_Production,dbo,PK_tblPostItems,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_LabelToRoleJoiner_TblUsers,FSP_V3_Production,dbo,PK_tblRole,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_LabelToUserJoiner_Labels,FSP_V3_Production,dbo,PK_Labels,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_LabelToUserJoiner_TblUsers,FSP_V3_Production,dbo,UX_tblUsers_GUID,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_Labels_LabelCategories,FSP_V3_Production,dbo,PK_LabelCategories,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_ReservationTrainingSessions_tblReservation,FSP_V3_Production,dbo,PK_tblReservation,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,inv,FK_StorefrontItems_StorefrontLinks,FSP_V3_Production,inv,PK_StorefrontLinks,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_TerminalTransactionsDeleted_SalesTransactionId,FSP_V3_Production,dbo,UK_SalesTransactionsDeleted,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_TerminalTransactionsDeleted_TerminalId,FSP_V3_Production,inv,PK_Terminals_TerminalId,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartCategoryOverrides_PartCategories,FSP_V3_Production,mx,PK_PartCategories,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_PartsToInventoryLocationsJoiner_InventoryLocations,FSP_V3_Production,mx,PK_InventoryLocations,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_LocationToIcaoLocationsJoiner_tblLocations,FSP_V3_Production,dbo,PK_tblLocations,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_PartsToInventoryLocationsJoiner_Parts,FSP_V3_Production,mx,PK_Parts,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecordConditionOverrides_StockRecordConditions,FSP_V3_Production,mx,PK_StockRecordConditions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_StockRecordConditions,FSP_V3_Production,mx,PK_StockRecordConditions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_Parts,FSP_V3_Production,mx,PK_Parts,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_OperatorAgreements_tblUser,FSP_V3_Production,dbo,UX_tblUsers_GUID,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_StockRecordStatus,FSP_V3_Production,mx,PK_StockRecordStatus,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_InventoryLocations,FSP_V3_Production,mx,PK_InventoryLocations,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageItems_Tax1Id,FSP_V3_Production,dbo,PK_tblInvoicingTaxes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageItems_CustomInstructionTypeId,FSP_V3_Production,dbo,PK_InstructionTypes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_TimeTypeOverrides_TimeTypes,FSP_V3_Production,mx,PK_TimeTypes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,mx,FK_StockRecords_Attachments,FSP_V3_Production,dbo,PK_Attachments,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,inv,FK_PackageItems_Tax2Id,FSP_V3_Production,dbo,PK_tblInvoicingTaxes,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_SalesTransactions,FSP_V3_Production,dbo,UK_SalesTransactions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblAddressParts_tblAddress,FSP_V3_Production,dbo,PK_tblAddress,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,dbo,FK_SalesTransactionPayments_SalesTransactions,FSP_V3_Production,dbo,UK_SalesTransactions,SIMPLE,NO ACTION,NO ACTION
FSP_V3_Production,dbo,FK_tblPersonAddressJoiner_tblAddress,FSP_V3_Production,dbo,PK_tblAddress,SIMPLE,NO ACTION,CASCADE
FSP_V3_Production,mx,FK_StockRecordsToBinLocationsJoiner_BinLocations,FSP_V3_Production,mx,PK_InventoryBins,SIMPLE,NO ACTION,NO ACTION
